iter	Passed	Remaining
0	568	170058
1	879	131040
2	1186	117510
3	1503	111259
4	1814	107038
5	2127	104244
6	2466	103255
7	2790	101842
8	3118	100844
9	3437	99687
10	3760	98798
11	4087	98105
12	4401	97177
13	4743	96912
14	5056	96082
15	5371	95339
16	5706	95003
17	6039	94619
18	6355	93997
19	6671	93407
20	7020	93274
21	7332	92660
22	7643	92051
23	7970	91660
24	8294	91241
25	8604	90683
26	8918	90177
27	9256	89920
28	9579	89519
29	9894	89050
30	10217	88659
31	10534	88228
32	10848	87774
33	11164	87344
34	11498	87058
35	11811	86617
36	12127	86201
37	12460	85915
38	12805	85698
39	13129	85338
40	13448	84956
41	13864	85168
42	14254	85195
43	14623	85085
44	15025	85143
45	15382	84938
46	15767	84875
47	16132	84697
48	16444	84238
49	16758	83792
50	17092	83452
51	17403	83002
52	17718	82573
53	18036	82165
54	18366	81813
55	18679	81389
56	19004	81018
57	19352	80745
58	19709	80507
59	20047	80189
60	20387	79877
61	20733	79589
62	21048	79182
63	21364	78780
64	21696	78442
65	22010	78036
66	22367	77785
67	22700	77449
68	23019	77065
69	23334	76671
70	23663	76324
71	23996	75989
72	24315	75612
73	24639	75250
74	24972	74916
75	25285	74526
76	25595	74125
77	25917	73766
78	26243	73415
79	26555	73027
80	26865	72636
81	27190	72288
82	27503	71907
83	27814	71523
84	28126	71143
85	28454	70806
86	28772	70443
87	29089	70079
88	29414	69736
89	29736	69385
90	30053	69024
91	30361	68643
92	30693	68317
93	31008	67954
94	31318	67582
95	31633	67220
96	31951	66868
97	32253	66480
98	32557	66102
99	32884	65768
100	33199	65413
101	33505	65039
102	33813	64672
103	34134	64331
104	34445	63969
105	34763	63623
106	35086	63286
107	35394	62923
108	35700	62557
109	36007	62194
110	36322	61847
111	36637	61497
112	36979	61196
113	37331	60908
114	37667	60596
115	38010	60293
116	38355	59991
117	38721	59722
118	39095	59463
119	39443	59165
120	39815	58900
121	40149	58578
122	40478	58250
123	40843	57971
124	41162	57627
125	41492	57299
126	41854	57014
127	42196	56701
128	42525	56371
129	42861	56049
130	43183	55710
131	43494	55356
132	43803	55001
133	44132	54671
134	44439	54315
135	44814	54041
136	45174	53747
137	45509	53424
138	45844	53100
139	46187	52785
140	46514	52452
141	46897	52181
142	47243	51868
143	47567	51530
144	47885	51188
145	48198	50839
146	48539	50521
147	48862	50182
148	49181	49842
149	49498	49498
150	49818	49158
151	50129	48810
152	50444	48466
153	50773	48135
154	51090	47794
155	51395	47442
156	51723	47110
157	52077	46803
158	52391	46460
159	52740	46147
160	53075	45822
161	53388	45478
162	53706	45140
163	54028	44803
164	54348	44467
165	54660	44123
166	54988	43793
167	55328	43472
168	55647	43134
169	55968	42799
170	56302	42473
171	56641	42151
172	56970	41822
173	57300	41493
174	57636	41169
175	57951	40829
176	58266	40490
177	58589	40156
178	58896	39812
179	59213	39475
180	59523	39134
181	59851	38804
182	60165	38466
183	60467	38120
184	60791	37789
185	61099	37448
186	61405	37106
187	61711	36764
188	62042	36437
189	62356	36100
190	62660	35759
191	62977	35424
192	63294	35090
193	63605	34753
194	63910	34413
195	64253	34093
196	64650	33801
197	65071	33521
198	65514	33250
199	65935	32967
200	66331	32670
201	66770	32393
202	67202	32111
203	67634	31827
204	68037	31529
205	68448	31233
206	68868	30940
207	69286	30645
208	69747	30368
209	70197	30084
210	70603	29780
211	71018	29479
212	71433	29176
213	71845	28872
214	72287	28578
215	72688	28267
216	73094	27957
217	73526	27656
218	73942	27348
219	74369	27043
220	74793	26735
221	75198	26421
222	75627	26113
223	76025	25794
224	76420	25473
225	76862	25167
226	77272	24849
227	77743	24550
228	78160	24233
229	78571	23913
230	78994	23595
231	79420	23278
232	79843	22959
233	80269	22640
234	80672	22313
235	81086	21989
236	81495	21663
237	81893	21333
238	82321	21010
239	82719	20679
240	83136	20352
241	83566	20028
242	83960	19694
243	84380	19365
244	84801	19037
245	85201	18702
246	85644	18377
247	86048	18042
248	86464	17709
249	86883	17376
250	87296	17041
251	87706	16706
252	88120	16370
253	88519	16031
254	88937	15694
255	89353	15357
256	89777	15021
257	90197	14683
258	90604	14342
259	91017	14002
260	91424	13661
261	91831	13319
262	92244	12977
263	92665	12636
264	93103	12296
265	93524	11954
266	93942	11610
267	94354	11266
268	94794	10924
269	95193	10577
270	95610	10231
271	96035	9885
272	96425	9536
273	96864	9191
274	97284	8844
275	97700	8495
276	98143	8149
277	98575	7800
278	99035	7454
279	99431	7102
280	99853	6751
281	100262	6399
282	100661	6046
283	101086	5695
284	101491	5341
285	101892	4987
286	102307	4634
287	102715	4279
288	103120	3924
289	103530	3570
290	103938	3214
291	104352	2858
292	104766	2502
293	105178	2146
294	105590	1789
295	106018	1432
296	106424	1074
297	106840	717
298	107248	358
299	107654	0
